,ID,ROA,ROE,Operating gross profit margin,cash flow,Debt ratio,Total asset turnover,After-tax net profit growth rate,Growth_CLass
549,3048,2.31,13.66,2.7,"327,697",84.05,5.13,89.34,3
550,3049,2.05,3.65,23.05,"-2,829,408",44.29,0.18,-63.46,0
551,3050,1.8,3.77,39.46,"167,977",52.26,0.18,16.1,2
552,3051,0.12,0.87,18.43,"-3,321,750",85.86,0.27,109.72,3
553,3052,4.17,10.68,9.3,"504,336",58.43,0.66,81.88,3
554,3054,-2.78,-3.13,-9.07,"15,801",6.71,0.26,-589.32,0
555,3055,-0.49,-1.12,14.8,"303,063",61.79,0.67,-360.4,0
556,3056,6.42,20.45,32.59,"-1,280,402",70.58,0.29,117.37,3
557,3057,-3.99,-8.23,31.97,"-16,709",47.94,0.56,85.41,3
558,3058,-3.56,-9.06,11.73,"182,249",63.41,0.83,-680.75,0
559,3059,0.58,0.91,24.94,"1,569,080",38.69,0.42,4291.75,3
560,3060,-6.88,-11.35,6.67,"45,189",38.21,0.77,40.32,2
561,3062,-0.16,-0.23,7.69,"67,453",32.78,0.6,-54.09,0
562,3090,7.64,12.91,17.32,"508,896",42.11,1.22,1.91,1
563,3092,3.39,7.95,24.15,"-229,967",60.05,0.68,-57.58,0
564,3094,2.41,2.68,67.13,"103,703",10.05,0.2,-19.3,1
565,3130,9.65,17.07,88.85,"317,172",44.85,0.62,-10.82,1
566,3138,8.61,14.53,42.11,"-207,125",36.29,0.72,91.33,3
567,3149,0.48,1.25,-0.37,"-201,324",62.02,0.62,-385.55,0
568,3164,5.09,5.54,66.23,"36,792",8.12,0.2,5.21,1
569,3167,9.2,22.51,29.5,"1,418,917",62.11,0.51,135.51,3
570,3189,2.15,3.12,21.47,"77,304",31.77,0.64,147.73,3
571,3209,3.27,12.1,3.87,"582,479",72.7,3.55,51.65,2
572,3229,-30.5,-50.02,2.06,"-51,706",45.69,0.51,-42.46,0
573,3231,2.3,10.61,5.45,"4,687,455",80.43,2.19,32.71,2
574,3257,13.85,15.49,47.3,"295,898",13.03,0.63,157.49,3
575,3266,1.34,2.66,15.73,"237,218",50.28,0.29,-39.89,0
576,3296,0.96,1.51,16.09,"94,309",40.44,1.08,-13.68,1
577,3305,3.22,5.78,12.72,"-158,418",44.65,0.81,3.95,1
578,3308,-5.19,-11.23,5.64,"-350,805",54.17,0.21,6.94,1
579,3311,-13.78,-18.6,9.48,"-144,834",27.35,0.56,-1101.04,0
580,3312,2.98,10.57,4.94,"203,951",73.04,2.67,27.54,2
581,3321,-10.81,-30.58,3.56,"-951,797",60.0,0.73,30.63,2
582,3338,5.14,13.6,20.22,"206,419",61.56,1.21,-23.02,1
583,3346,0.9,2.85,16.34,"52,560",67.0,0.83,-5.44,1
584,3356,5.36,8.41,45.96,"-40,159",28.61,0.44,606.98,3
585,3376,8.39,12.06,23.99,"-346,543",29.85,0.73,28.89,2
586,3380,3.27,6.34,15.56,"2,771,663",52.83,1.24,203.51,3
587,3383,-9.06,-83.23,-20.82,"-61,825",93.26,0.17,-23.26,1
588,3406,13.39,21.51,43.46,"143,770",39.63,0.67,20.52,2
589,3413,13.77,27.71,25.63,"-803,752",52.01,1.01,91.88,3
590,3416,9.39,11.3,34.95,"241,929",20.36,0.7,6.16,1
591,3419,2.53,3.94,20.39,"-281,882",35.27,0.61,197.15,3
592,3432,2.09,2.57,29.78,"60,567",12.77,0.02,-28.21,0
593,3437,0.03,0.05,6.97,"12,535",42.91,1.22,46.62,2
594,3443,9.33,19.18,30.0,"1,018,058",53.96,1.5,34.18,2
595,3450,7.06,9.95,22.98,"667,001",30.03,0.77,0.99,1
596,3454,4.35,7.01,33.69,"305,000",38.92,1.18,-8.42,1
597,3481,0.85,1.36,8.83,"-11,156,996",37.41,0.72,109.4,3
598,3494,-24.45,-46.84,-23.46,"-351,286",47.23,0.16,-81.66,0
599,3501,5.82,7.71,24.24,"24,021",24.36,0.6,-20.23,1
600,3504,-3.95,-7.01,18.21,"-410,763",42.32,0.67,-4507.01,0
601,3515,11.91,19.03,21.51,"726,904",37.62,1.63,132.07,3
602,3518,-1.7,-2.61,32.66,"-52,546",37.12,0.32,71.67,2
603,3528,6.28,13.85,11.01,"185,042",54.21,1.51,14.92,2
604,3530,10.26,13.05,20.19,"-178,383",26.77,1.22,80.4,3
605,3532,5.7,6.42,20.23,"1,629,705",11.93,0.52,-38.47,0
606,3533,16.19,21.3,40.08,"1,499,156",24.91,0.97,32.23,2
607,3535,-4.41,-10.68,20.6,"54,448",63.27,0.5,-187.38,0
608,3536,-8.72,-43.04,7.93,"-92,227",84.04,0.37,67.5,2
609,3543,-6.61,-12.32,14.0,"-407,446",49.26,0.55,-502.47,0
610,3545,7.12,10.97,24.85,"1,178,248",36.72,1.15,578.15,3
611,3550,3.09,6.59,19.87,"56,699",53.36,0.9,59.29,2
612,3557,15.09,52.18,40.42,"-292,813",64.48,0.96,232.9,3
613,3563,19.39,28.16,63.38,"-189,293",29.7,0.71,-24.5,1
614,3576,-16.24,-35.45,-7.45,"-2,222,647",53.72,0.31,-6.81,1
615,3583,7.32,11.27,40.67,"672,539",40.61,0.85,-5.34,1
616,3588,3.95,4.72,32.22,"56,213",17.63,0.92,158.84,3
617,3591,2.47,3.39,19.22,"141,269",29.5,0.53,111.82,3
618,3593,6.75,14.4,19.52,"-149,902",48.08,0.62,142.3,3
619,3596,5.64,13.15,14.97,"1,266,342",58.48,1.24,20.16,2
