ROA,ROE,Operating gross profit margin,cash flow,Debt ratio,Total asset turnover,kMeans_labels,rate
0.960592619,0.290318887,-0.226432386,0.149562214,-1.579612353,0.943606224,9,0
-0.042141599,0.018737124,-0.316934764,-0.271036145,-0.072532399,-0.623692203,1,0
0.202454717,0.217313037,-0.357453803,-0.138670722,0.445377244,0.103982067,3,0
-1.019420092,-0.451096082,-0.444702827,-0.218399756,-0.636030813,0.383856786,8,0
-0.432831642,-0.149663038,-0.421929353,-0.621610376,1.148822583,-0.119917709,1,0
-0.357571237,-0.138306572,-0.392944931,-0.177979018,-0.228382384,-0.269184225,8,0
-1.667987698,-1.39433167,-1.338191993,-0.173683928,1.593048049,-0.53040063,10,0
-0.778144088,-0.436819383,-0.197447964,0.996793171,0.90815628,-0.250525911,1,0
0.494642171,0.467804222,-0.396789804,-0.123651287,0.477183363,1.204822628,3,1
-0.225865529,-0.125003284,-0.370171457,-0.191153085,-1.787942434,0.421173415,8,1
-0.389667586,-0.118513875,-0.380818796,-0.218750719,1.128148605,0.421173415,3,0
0.522311437,0.511932202,-0.399451638,-0.356785059,0.745945072,-0.325159169,3,1
-0.070917636,-0.062704958,-0.466589023,-0.183107379,-1.457158794,1.633963864,9,0
-0.130683252,-0.08606683,-0.247135544,-0.190487872,-1.71478836,-0.194550967,8,0
0.897506691,0.414591068,-0.367805382,-0.311905743,-0.742051211,0.514464988,9,0
-0.39520144,-0.139604454,-0.504741987,-0.302630444,0.64416549,0.4025151,3,1
-0.097480132,0.010300892,0.161899714,-0.442810698,-0.11812117,-0.53040063,9,0
0.47693384,0.128083664,0.905734621,-0.053682471,-1.503277667,-0.661008832,9,0
